field_1	heap
field_10	FENCE
field_100	BANNER_PINK
field_1000	quality
field_10000	BUBBLE_CORAL_BLOCK
field_10001	END_STONE_BRICK_WALL
field_10002	REDSTONE_BLOCK
field_10003	PEONY
field_10004	BROWN_GLAZED_TERRACOTTA
field_10005	HORN_CORAL_FAN
field_10006	PRISMARINE_BRICKS
field_10007	SANDSTONE_SLAB
field_10008	MOVING_PISTON
field_10009	JACK_O_LANTERN
field_1001	weight
field_10010	DARK_OAK_LOG
field_10011	BLUE_CONCRETE
field_10012	END_STONE_BRICK_STAIRS
field_10013	EMERALD_ORE
field_10014	LIME_TERRACOTTA
field_10015	MAGENTA_TERRACOTTA
field_10016	ANDESITE_SLAB
field_10017	JUNGLE_TRAPDOOR
field_10018	POTTED_CACTUS
field_10019	PURPLE_BED
field_1002	field_1002
field_10020	SPRUCE_FENCE
field_10021	CHORUS_PLANT
field_10022	ORANGE_CONCRETE_POWDER
field_10023	BROWN_CONCRETE_POWDER
field_10024	MOSSY_STONE_BRICK_SLAB
field_10025	DETECTOR_RAIL
field_10026	JUNGLE_PRESSURE_PLATE
field_10027	END_PORTAL
field_10028	LIME_WOOL
field_10029	CACTUS
field_1003	constructor
field_10030	SLIME_BLOCK
field_10031	ACACIA_SLAB
field_10032	DEAD_HORN_CORAL
field_10033	GLASS
field_10034	CHEST
field_10035	DARK_OAK_LEAVES
field_10036	FIRE
field_10037	SPRUCE_LOG
field_10038	GRAY_CONCRETE
field_10039	SMOOTH_RED_SANDSTONE_STAIRS
field_1004	field_1004
field_10040	LIME_CARPET
field_10041	JUNGLE_FENCE_GATE
field_10042	CREEPER_HEAD
field_10043	BLUE_CARPET
field_10044	CHISELED_QUARTZ_BLOCK
field_10045	ORANGE_BANNER
field_10046	LIME_GLAZED_TERRACOTTA
field_10047	DEAD_BUBBLE_CORAL_FAN
field_10048	ORANGE_TULIP
field_10049	YELLOW_STAINED_GLASS
field_1005	tag
field_10050	LIGHT_BLUE_WALL_BANNER
field_10051	PINK_SHULKER_BOX
field_10052	LIGHT_GRAY_GLAZED_TERRACOTTA
field_10053	TUBE_CORAL_FAN
field_10054	PURPLE_WALL_BANNER
field_10055	GREEN_SHULKER_BOX
field_10056	STONE_BRICKS
field_10057	OAK_BUTTON
field_10058	RED_CONCRETE
field_10059	MOSSY_STONE_BRICK_WALL
field_1006	expand
field_10060	BLUE_STAINED_GLASS
field_10061	POTTED_PINK_TULIP
field_10062	BLACK_BANNER
field_10063	MAGENTA_SHULKER_BOX
field_10064	END_STONE_BRICK_SLAB
field_10065	MOSSY_STONE_BRICKS
field_10066	SPRUCE_BUTTON
field_10067	BLUE_WALL_BANNER
field_10068	RED_SHULKER_BOX
field_10069	RED_BED
field_1007	val$item
field_10070	BLACK_STAINED_GLASS_PANE
field_10071	SPRUCE_SLAB
field_10072	GRANITE_WALL
field_10073	BROWN_STAINED_GLASS
field_10074	POTTED_OXEYE_DAISY
field_10075	DARK_OAK_PLANKS
field_10076	POTTED_DARK_OAK_SAPLING
field_10077	GRAY_STAINED_GLASS_PANE
field_10078	CYAN_GLAZED_TERRACOTTA
field_10079	BRAIN_CORAL_FAN
field_1008	field_1008
field_10080	REDSTONE_ORE
field_10081	DRAGON_EGG
field_10082	DEAD_TUBE_CORAL
field_10083	LOOM
field_10084	STRIPPED_JUNGLE_WOOD
field_10085	IRON_BLOCK
field_10086	BLUE_ORCHID
field_10087	WHITE_STAINED_GLASS
field_10088	SPRUCE_WALL_SIGN
field_10089	BRICK_STAIRS
field_1009	formula
field_10090	LAPIS_ORE
field_10091	REDSTONE_WIRE
field_10092	MAGMA_BLOCK
field_10093	POLISHED_ANDESITE
field_10094	DEAD_BUBBLE_CORAL_WALL_FAN
field_10095	ORANGE_WOOL
field_10096	YELLOW_GLAZED_TERRACOTTA
field_10097	DEAD_BRAIN_CORAL_FAN
field_10098	ACACIA_LEAVES
field_10099	WALL_TORCH
field_101	BANNER_GRAY
field_1010	FORMULAS
field_10100	INFESTED_CRACKED_STONE_BRICKS
field_10101	WITHER_SKELETON_WALL_SKULL
field_10102	SAND
field_10103	STRIPPED_ACACIA_WOOD
field_10104	BRICKS
field_10105	CHIPPED_ANVIL
field_10106	BLACK_CARPET
field_10107	WHITE_CONCRETE
field_10108	BAMBOO_SAPLING
field_10109	CYAN_BED
field_1011	enchantment
field_10110	FROSTED_ICE
